Nombre,Ingredientes,Pasos,Duracion,Categoria
matambre de cerdo al horno,"['700 gramos de matambre de cerdo', '500 mililitros de leche', '1 diente de ajo', '1 cucharada sopera de mostaza', '1 limón', 'Sal, pimienta, ají molido, laurel, romero y tomillo a gusto', '2 papas', '1 zanahoria grande', '200 gramos de arvejas cocidas']","['1 Como primer paso limpia el exceso de grasa del matambre.', '2 A continuación, vierte la leche junto con la mostaza, el ajo picado y los condimentos en un recipiente que puedas llevar al fuego o al microondas. Mezcla bien y calienta hasta casi romper el hervor.', '3 Coloca la carne en una asadera y vuelca sobre ella la leche caliente, debe quedar casi sumergida. Luego, cúbrela con papel film y deja marinar allí como mínimo un par de horas. Lleva a la heladera una vez que baje un poco la temperatura de la leche. Transcurrido el tiempo, enciende el horno para precalentarlo a 160 °C, retira el film con el que cubriste el matambre y lleva a cocinar como mínimo 1 hora. Puedes girar la carne a mitad de tiempo. Truco: es ideal dejarlo toda la noche.', '4 Mientras tanto, elaboraremos el acompañamiento. Para ello, pela y corta en cubos una zanahoria. Hierve hasta que esté tierna.', '5 Haz lo mismo con la papa, ten cuidado que no se pasen de cocción para que no se haga puré.', '6 Cuando estén cocidos ambos vegetales, déjalos enfriar y mezcla en una ensaladera junto con las arvejas. Para terminar, puedes incorporar mayonesa y servirlo a modo de ensalada o bien salterarlo en sartén con una cucharada de aceite y un diente de ajo, como un panaché.', '7 Retira la asadera del horno y cuela el fondo que haya quedado, reserva el líquido y descarta una especie de nata cortada que puede formarse.', '8 Exprime el limón y vierte sobre la carne. Vuelve a llevar al horno a fuego fuerte para dorar.', '9 Una vez que el matambre de cerdo con condimento esté dorado, retira y sirve junto con nuestro acompañamiento. ¡A comer! Comparte con nosotros tu opinión o fotografía en comentarios.']",3h,"['Receta sin azúcar', 'Receta sin gluten', 'Recetas al horno']"
matambre de cerdo al horno con limon,"['600 gramos de matambre de cerdo', '1 limón']","['1 El primer paso para hacer este matambre de cerdo argentino consiste en limpiar un poco de la grasa externa. Luego, llévalo a un recipiente con el jugo de limón. Si dejas los gajos sobre la carne para que siga liberando su sabor, procura que la cáscara no queda en contacto o aportará sabor amargo. Enciende el horno a 200-220 °C para que se pre caliente.', '2 Cuando el horno alcance la temperatura máxima, coloca la asadera donde deseas cocinar el matambre para que se caliente. Pasados unos 10 minutos y con cuidado, retírala y agrega en ella el matambre de cerdo sin el jugo de limón, deberías escuchar un sonido como si saltearas cebolla. Luego de 20 minutos de cocción, gira el matambre y cocínalo unos 10 minutos más. Asimismo, el tiempo de coccción del matambre de cerdo al horno es de aprox. 30 min. Truco: si lo deseas, puedes untarlo con mostaza u otros condimentos como semillas, orégano, pimentón, nuez moscada o usar los preparados de especias para hacer carne al horno. Si prefieres, también puedes reemplazar la mostaza por barbacoa.', '3 Mientras, puedes preparar una guarnición para tu matambre, por ejemplo, ensalada de papas y huevo duro o ensalada rusa. Sirve el matambre de cerdo al horno jugoso. ¡A comer! Cuéntanos si lo pruebas y comparte la fotografía del resultado final.']",30m,['Recetas al horno']
bondiola al disco con cerveza y crema,"['1 kilogramo de bondiola de cerdo', '1 cebolla grande', '2 dientes de ajo', '1 zanahoria grande', '500 centímetros cúbicos de cerveza', '200 centímetros cúbicos de crema de leche o nata', 'sal, pimienta, ají molido, romero y tomillo al gusto']","['1 El primer paso es retirar el exceso de grasa de la bondiola.', '2 A continuación, pela la cebolla y el ajo y pícalos.', '3 También pela y corta la zanahoria.', '4 Calienta el disco y, cuando tome suficiente temperatura, sella la bondiola por ambos lados. De esta manera, ayudaremos a que conserven todos sus jugos en el interior. Cuando esté bien dorada, retira y reserva.', '5 Aprovecha el mismo fondo de cocción de la carne para rehogar la cebolla y el ajo. Cuando se hayan dorado, incorpora las zanahorias.', '6 Deja cocinar unos minutos para que las zanahorias se doren y aporten más sabor. Luego, vuelve a incorporar la bondiola, condimenta, revuelve y vierte la cerveza. Espera unos minutos hasta que se evapore el alcohol y, luego, tapa el disco. Dejar cocinar unos 40 minutos removiendo cada tanto para que no se pegue. Truco: si es necesario, regula un poco la temperatura del fuego, para que no se arrebate. Lo ideal es cocinarlo a fuego lento, para que quede tierna y bien sabrosa.', '7 Ya puedes añadir la crema de leche o nata. A continuación, remueve, tapa nuevamente y continúa la cocción unos 10 o 15 minutos más, siempre revolviendo cada tanto.', '8 La bondiola a la cerveza al disco está lista. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",1h 30m,['Receta sin azúcar']
tuco con carne picada,"['250 gramos de carne picada', '500 centímetros cúbicos de tomates perita en lata', '1 hoja de laurel', '1 cucharada postre de orégano', '1 cucharada sopera de pimentón dulce', '1 cebolla grande', '1 diente de ajo', '1 cucharada sopera de extracto de tomate', '½ vaso de vino tinto']","['1 Pela y pica tanto la cebolla como el diente de ajo. Pícalos bien chiquitos, teniendo de referencia el tamaño de la carne, ya que lo ideal sería que las verduras sean iguales o más chicas. Comienza a saltear la cebolla y el ajo en una olla a fuego máximo con 1 cucharadita de aceite. Cuando transparente, baja el fuego al medio. Truco: si se seca, añade una cucharada de agua caliente para levantar el fondo de cocción. Repite unas o dos veces para que la cebolla quede caramelizada.', '2 Cuando la cebolla esté caramelizada, sube el fuego y agrega la carne picada. No la muevas hasta que se dore para que no largue mucho líquido y se hierva, sino que tome más sabor. Cuando toda la carne haya cambiado de color, añade media copa de vino tinto.', '3 Cuando se haya evaporado el alcohol, sentirás que el olor del salteado cambia de ácido a dulce. En ese momento, agrega la lata de tomate con los perita pisados. Condimenta con el laurel, orégano y pimentón. Cuando empiece a hervir, baja el fuego al medio, tápalo y cocínalo por unos 20-30 minutos.', '4 Pasado el tiempo, sirve el tuco con carne picada sobre la pasta que desees. Antes de servirlo, puedes agregar una pizca de bicarbonato de sodio para que no de acidez. ¡A comer! Cuéntanos si lo pruebas y comparte la fotografía del resultado final.']",45m,[]
pastel de papa argentino,"['500 gramos de carne picada', '5 papas', '50 centímetros cúbicos de leche', '50 gramos de manteca', '1 cebolla', '2 ramas de cebolla de verdeo', '2 huevos', '30 gramos de aceitunas', '1 cucharada postre de comino', '1 cucharada sopera de pimentón', '1 cucharada postre de tomillo', '1 cucharada postre de extracto de tomate', '¼ morrón', '1 cucharada sopera de nuez moscada', '1 pizca de pimienta']","['1 Para empezar con la preparación del pastel de papa argentino, lava las papas para disponerlas en una cacerola amplia con buena cantidad de agua caliente. A continuación, enciende el fuego al máximo y cocínalas hasta que estén bien tiernas. También puedes pelarlas, cortarlas en cubos y cocinarlas de igual manera hervidas.', '2 Mientras, pela y pica la cebolla junto con la parte blanca de la cebolla de verdeo.', '3 Lleva ambas cebollas a una sartén bien caliente con una cucharadita de aceite. Cuando transparenten, baja el fuego al medio.', '4 Agrega el morrón limpio y picado, sin las nervaduras blancas ni las semillas. Saltea hasta que la verdura esté bien cocida. Si el salteado se está secando, añade unas cucharadas de agua caliente para levantar el fondo de cocción sin necesidad de añadir más materia grasa.', '5 Cuando las verduras estén bien cocidas, retíralas de la sartén y, en el mismo fondo de cocción, saltea la carne, esta vez con el fuego bien fuerte.', '6 Cuando la carne esté dorada, agrega nuevamente las verduras y apaga el fuego. No te preocupes si la carne no está del todo cocida, ya que en el horno se terminará de cocinar si es necesario. Agrega también el condimento y las aceitunas en rodajas sin carozo.', '7 Lleva el relleno al molde donde desees preparar y servir el pastel de papa argentino, en este caso, es uno cuadrado de 20x20 centímetros. Distribuye sobre toda la base del molde y cocina los huevos hervidos durante unos 12 minutos desde agua fría. Pélalos y pícalos sobre al carne. Resérvala', '8 Por otro lado, pela y pisa las papas que habías cocinado al principio de esta receta.', '9 Cuando estén frías, condiméntalas al gusto con nuez moscada, manteca y pimienta. Añade la leche y corrobora la consistencia. Si está muy seco, puedes añadir un poco más.', '10 Cubre la carne con el puré de papa y calienta unos 30 minutos en el horno. Si has llenado mucho el molde, puedes disponerlo dentro de una asadera por si el jugo de la carne sobresale. También puedes cubrir el puré de papa con queso rallado para que se gratine. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",1h 30m,['Recetas al horno']
carne al horno con papas,"['750 gramos de carne de ternera', '3 papas', '1 cebolla', '½ pimiento', '1 diente de ajo', '2 cucharadas soperas de aceite', '1 copa de vino', 'sal, pimienta, ají molido, perejil, romero y tomillo a gusto']","['1 Lo primero que debes hacer es encender el horno para precalentarlo a temperatura media de 180 °C. Mientras se calienta, limpia el exceso de grasa exterior de la carne.', '2 Mezcla en un recipiente amplio las 2 cucharadas de aceite con los condimentos. Pela y pica el ajo y agrega a la mezcla.', '3 Coloca la carne argentina dentro del recipiente y úntala bien con la preparación.', '4 Posteriormente, pela y corta la cebolla en pluma y el pimiento en tiras.', '5 A continuación, lava y pela las papas y córtalas en cubos, del tamaño más o menos similar para que la cocción sea pareja.', '6 Pincela con aceite una asadera para horno y coloca en un lado la cebolla y el pimiento, y en otro las papas.', '7 Pon a calentar una sartén sobre el fuego y cuando tome temperatura, sella la carne dorándola por ambos lados. No olvides incluir la marinada. Luego, añade el vino para levantar el sabor que queda adherido a la sartén.', '8 Cuando se evapore el alcohol, apaga el fuego y coloca la carne dorada en la asadera sobre las verduras, baña con el líquido que obtuvimos en la sartén. Lleva al horno a temperatura media de 180 °C por alrededor de 30 o 40 minutos (Dependerá del punto de cocción que prefieras). A mitad de tiempo, gira las papas y la carne y, si hace falta, agrega caldo o agua.', '9 Cuando la carne al horno y las papas estén cocidas y doradas, ya estará listo para comer. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",1h 30m,"['Receta sin lactosa', 'Receta sin azúcar', 'Recetas al horno']"
matambre al libro,"['500 gramos de matambre', '1 loncha de jamón', '1 loncha de queso', '4 tomates secos', '1 cebolla', '½ vaso de vino', '50 gramos de queso mozzarella']","['1 Para empezar con la preparación del matambre al libro, hidrata los tomates secos en agua caliente.', '2 Pela y pica la cebolla para saltearla en una sartén a fuego máximo con una cucharadita de aceite. Cuando esté ligeramente dorada, baja el fuego al medio y continúa salteando hasta que se empiece a secar. Añade una cucharada de agua caliente y repite tantas veces como sea necesario, hasta que estén tiernas. Por último, sube el fuego al máximo nuevamente y agrega medio vaso de vino. Aguarda a que el olor cambie de ácido a dulce, y retira las cebollas del fuego.', '3 Por otro lado, corta el matambre de forma rectangular. Retira un poco la grasa visible y reserva las partes que recortas para otra preparación, como por ejemplo, empanadas.', '4 Agrega en la mitad de la carne las fetas de queso, una de las fetas de jamón, envuelve en la otra el queso mozzarella. Agrega también los tomates hidratados y cebolla caramelizada.', '5 Dobla la carne por la mitad y asegura los bordes con ayuda de un hilo de cocina y una aguja gruesa.', '6 Envuelve la carne con papel aluminio y haz un pequeño agujero encima para que pueda liberar el vapor que genera durante la cocción. Cocínalo en el horno precalentado a 200-220 ºC por unos 30 minutos. Puedes corroborar su cocción con un termómetro de cocina. Sabrás que está listo cuando supere los 65 ºC en el centro del alimento. Luego, abre el papel y déjalo en el horno unos minutos más para que se dore.', '7 Reservas hasta que el matambre se enfríe un poco para cortarlo con una cuchilla afilada en rodajas. Recuerda retirar el hilo previamente. ¡A comer! Cuéntanos si las pruebas y comparte la foto del resultado final.']",45m,['Recetas al horno']
bifes a la cacerola,"['500 gramos de bifes de carne vacuna', '1 cebolla', '1 pimiento rojo', '1 diente de ajo', '1 zanahoria', '½ copa de vino', '1 lata de tomates', '2 cucharadas soperas de aceite', 'sal, pimienta, romero, ají molido']","['1 Antes de comenzar a preparar los bifes a la cacerola, retira el excedente de grasa de la carne. Existen diferentes cortes vacunos que puedes utilizar para este plato. En este caso, los preparamos con cuadril, sin embargo, también son apropiados: bife de chorizo, bife angosto, bife ancho, ojo de bife, entre otros.', '2 A continuación, coloca una cucharada de aceite en la olla y lleva al fuego. Cuando esté caliente, coloca los bifes y dora de ambos lados.', '3 Mientras sellas la carne, pela y corta los vegetales: la cebolla en pluma, el pimiento en tiras, el ajo bien picado y la zanahoria en rueditas.', '4 Una vez dorados los bifes, retira y reserva. A continuación, coloca otra cucharada de aceite en la olla y saltea las verduras. En primer lugar, la cebolla y el ajo, luego el morrón y, por último, las zanahorias. Cuando estén dorados, vierte el vino.', '5 Cuando evapore el alcohol, añade el tomate y condimenta con pimienta, sal, ají molido y romero. Remueve.', '6 Incorpora nuevamente la carne y deja el fuego fuerte hasta que rompa hervor. Luego, baja al mínimo y deja cocinar por 20 minutos. Cada tanto remueve, también puedes ir girando la carne y observar si necesita más líquido. Truco: si es necesario puedes agregar un poco de caldo o agua.', '7 Los bifes a la cacerola están listos. ¡A comer! Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",45m,"['Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten']"
bondiola desmenuzada,"['500 gramos de bondiola', '1 cebolla', '1 rama de puerro', '6 cucharadas soperas de harina', '1 zanahoria', '1 cucharada postre de romero', '1 cucharada postre de tomillo', '1 cucharada postre de provenzal', '1 pizca de ají molido', '1 cucharada sopera de miel', '½ cucharada postre de canela', '1 cucharada postre de mostaza en grano']","['1 Para empezar con la preparación de la bondiola desmenuzada, pela y pica la cebolla, el puerro y la zanahoria. Saltea los vegetales en una sartén antiadherente bien caliente con una cucharadita de aceite. Si el salteado está secándose, puedes agregar 1 cucharada de agua caliente para levantar el fondo de cocción. Repite un par de veces hasta que estén ligeramente dorados.', '2 Cuando los vegetales estén dorados, agrega una cucharada de agua caliente y, antes que se evapore, retíralos y disponlos en un plato para usarlos luego. En el mismo fondo de cocción, dora por ambos lados las rodajas de bondiola, previamente rebozada en harina. Esto proporcionará un gran sabor por el grillado, guardará los jugos dentro de la carne y aportará consistencia cremosa al fondo de cocción. Es un paso clave para la bondiola desmenuzada.', '3 No muevas la carne hasta que esté dorada o se pegará. Cuando esté dorada por ambos lados, retírala del fuego y resérvala.', '4 Retira la bondiola y agrega un vaso de agua caliente junto con los condimentos. Puedes eliminar o reemplazar los condimentos al gusto, en este caso, hemos utilizado romero, tomillo, provenzal, semillas de mostaza molidas, ají molido, miel y canela. Reserva hasta que el agua hierva y revuelve para levantar el fondo del salteado de vegetales y el sellado de la carne.', '5 Dispón en la olla a presión el fondo de cocción con los condimentos, los vegetales salteados y la carne dorada. Agrega suficiente agua como para cubrir todos los ingredientes y tapa la olla. Lleva al fuego alto hasta que empiece a sonar el silbato. En ese momento, baja el fuego al mínimo y cocina por una hora. Si no tienes olla a presión, puedes llevar las rodajas de bondiola con los vegetales y el fondo de cocción a una asadera tapada con aluminio y cocinarla por al menos unos 90 minutos. Tanto de esta forma como si la haces en una olla común, asegúrate que no se quede sin líquido.', '6 Pasado el tiempo de cocción, apaga el fuego y aguarda unos minutos antes de abrir la olla a presión. Retira la carne y demenúzala en caliente.', '7 ¿Con qué disfrutarás esta bondiola desmenuzada? ¡A comer! Cuéntanos si la pruebas y comparte la foto del resultado final.']",1h 30m,[]
bifes a la criolla con huevo,"['500 gramos de bifes de carne vacuna', '1 cebolla', '½ pimiento rojo', '½ pimiento verde', '½ pimiento amarillo', '1 diente de ajo', '3 huevos', '½ copa de vino blanco', 'sal, pimienta, tomillo, aji molido', 'caldo de verdura, cantidad necesaria']","['1 En primer lugar, prepara todos los vegetales. Pela y corta la cebolla y el ajo en finas láminas. Luego, lava y rebana los pimientos en tiras. Truco: no es necesario que uses los tres colores de pimiento, aunque esta variedad aporta sabor y color a la preparación, pero puedes utilizar uno o dos.', '2 A continuación, prepara los bifes retirando el exceso de grasa. Para esta receta, puedes usar distintos tipos de cortes. En este caso, usamos nalga cortada en bifes de ½ cm aproximadamente. Asimismo, puedes usar bola de lomo, cuadrada o cuadril.', '3 Lleva al fuego un recipiente tipo guisero o sartén profunda, vierte una cucharada sopera de aceite y cocina las cebollas junto con el ajo hasta que transparenten.', '4 A continuación, incorpora los ajíes o pimientos. Cocina hasta que comiencen a ponerse algo tiernos.', '5 Retira las verduras, vierte otra cucharada de aceite y, una vez que esté caliente, sella los bifes. Solo deben dorarse de ambos lados. Truco: en este paso no te excedas con la cocción de la carne, ya que todavía seguirá al fuego un tiempo más y quedará sobrecocida.', '6 Vierte el vino y vuelve a incorporar la cebolla, el ajo y los pimientos ya cocidos. Condimenta con sal, pimienta, tomillo y ají molido.', '7 Casca lo huevos en un plato uno a uno antes de incorporarlos a la preparación para asegurarte que no se rompan.', '8 Agrega 1 huevo por comensal y tapa. Deja unos minutos hasta que se cocinen y, mientras tanto, vigila que tenga suficiente líquido. Además, si es necesario, agrega un poco de caldo.', '9 Sirve los bifes a la criolla con huevo y listo para comer. Cuéntanos en los comentarios tu opinión y comparte con nosotros una fotografía del resultado final.']",45m,"['Receta sin lactosa', 'Receta sin azúcar', 'Receta sin gluten']"
bifes a la portuguesa,"['250 gramos de bifes de nalga', '2 cucharadas soperas de harina 000', '¼ morrón verde', '¼ morrón amarillo', '¼ morrón rojo', '1 cebolla', '½ vaso tomates peritas en salsa', '1 hoja de laurel', '1 cucharadita de orégano', '1 cucharadita de tomillo', '1 cucharada postre de pimentón', '2 papas', '½ vaso de vino blanco seco']","['1 El primer paso para preparar el estofado a la portuguesa consiste en pelar la cebolla y cortarla en pluma. A continuación, lava y corta los morrones en juliana retirándoles las nervaduras blancas y semillas. Truco: si no tienes la variedad de colores de los morrones, puedes utilizar solo una de ellas.', '2 Calienta una sartén antiadherente con 1 cucharadita de aceite y saltea en ella la cebolla hasta que esté ligeramente dorada.', '3 Cuando esté dorada la cebolla, añade los morrones y continúa salteando hasta que estén bien tiernos. Baja el fuego al medio para que no se quemen y, cada vez que sea necesario porque se está pegando o secando, añade 1 cucharada de agua caliente. Truco: esto hará que la verdura se cocine lentamente sin hervirse, tomando mucho sabor. Además, será más saludable que saltearla en una gran cantidad de aceite o manteca.', '4 Mientras se cocina la verdura, prepara los bifes. Utiliza el corte emincé que es el pedido para hacer las milanesas. Primero, corta los bifes del tamaño que desees, retirando la grasa visible y nervaduras para que sea más agradable al comerlo.', '5 Dispón la harina en un plato y reboza cada bife con ella. Esto hará que, al cocinarlos, se selle la humedad dentro y queden mucho más tiernos. Además, el fondo de cocción con harina le aportará una consistencia única a la salsa.', '6 Cuando la verdura esté bien cocida, retírala de la sartén reservándola en un plato. En el mismo fondo de cocción, añade una cucharadita extra de aceite y sube el fuego al máximo. Sella por ambos lados los bifes en la sartén, aguardando a que estén dorados antes de girarlos o se pegarán. Puedes hacerlo en dos tandas para darle suficiente espacio a cada uno.', '7 Cuando estén dorados, agrega todos los bifes junto a la verdura y, al tomar nuevamente temperatura, añade el vino para levantar el fondo de cocción.', '8 Cuando sientas que el olor ha cambiado de ácido a dulce, agrega los tomates perita y písalos con un tenedor. Añade también los condimentos, es decir, el laurel, el orégano, el tomillo y el pimentón.', '9 Mientras la carne se calienta con las verduras y el tomate, lava y pincha las papas para cocinarlas unos 3 minutos por cada lado en el microondas. Aquí solo buscamos darles una precocción así que, si son muy chicas, cocínalas por menos minutos. Cuando estén ligeramente tiernas, córtalas en rodajas de 1 dedo de ancho.', '10 Cuando los bifes a la portuguesa estén hirviendo, añade las rodajas de papa y tapa para que todo termine de cocinarse junto unos 10 minutos extra. Si es necesario, añade caldo casero o agua para que no se seque.', '11 Pasado el tiempo, sirve la carne a la portuguesa bien calientes. ¡A comer! Cuéntanos si lo pruebas y comparte la fotografía del resultado final.']",45m,"['Recomendada para perder peso', 'Receta sin sal']"
sandwich de bondiola de cerdo,"['400 gramos de bondiola de cerdo', '1 cebolla morada chica', '1 rama de cebolla de verdeo', '½ litro de cerveza', '2 tazas de harina 000', '1 cucharada postre de levadura seca', '1 taza de leche                                                                    (240 mililitros)', '1 cucharada postre de miel']","['1 Para empezar con la preparación del sándwich de bondiola de cerdo, disuelve la miel junto con la levadura seca, en una parte de la leche tibia.', '2 Agrega la mezcla a la harina junto con el resto de la leche tibia. Comienza a integrar y amasar hasta tener un bollo liso.', '3 Reserva tu masa tapada mientras cocinas la carne.', '4 Corta la bondiola en churrasquitos de unos 2 dedos de ancho. Retira previamente un poco de la grasa visible.', '5 Calienta a fuego máximo la plancha con una cucharada de aceite. Dora la carne por ambos lados. Truco: recomendamos el uso de una plancha de hierro, ya que mantiene bien el calor.', '6 Mientras, pela y pica la cebolla morada junto con la parte blanca de la cebolla de verdeo. Reserva la parte verde para después.', '7 Cuando la carne esté dorada por ambos lados, agrega las cebollas y muévelas para que no se quemen, sino que se pongan blanditas.', '8 Agrega un poco de cerveza como para cubrir el fondo de la carne. Gíralas para que se cocinen de forma pareja, tanto sobre su eje, como por los distintos lugares de la plancha. Si se evapora todo el líquido, agrega un poco más hasta que la carne esté bien cocida.', '9 Mientras tu carne se cocina, continúa con el pan para tu sándwich de bondiola de cerdo. Divide la masa en 4 y haz bollitos. Ubícalos en un molde previamente engrasado y tápalos para que leuden unos 10 minutos, mientras calientas el horno a temperatura máxima.', '10 Cocina tus panes en el horno precalentado a 200-200 ºC por unos 10 minutos hasta que estén dorados. Resérvalos.', '11 Una vez cocida la carne, ayúdate con dos tenedores para desmenuzarla. Una vez lista, mézclala con la salsa de la reducción de la cerveza y la parte verde de la cebolla de verdeo.', '12 Con cuidado de no quemarte, abre los pancitos por la mitad y rellénalos con la carne desmenuzada. Si lo deseas, puedes agregar un poco de queso. Lleva tus sándwich de bondiola de cerdo al horno por unos 5 minutos para que se caliente la carne con el pan y se derrita el queso, si decidiste agregarlo.', '13 Sirve tus sándwich de bondiola de cerdo recién salidos del horno. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",45m,[]
bondiola de cerdo al disco,"['1 kilogramo de bondiola de cerdo', '1 cebolla morada', '2 ramas de cebolla de verdeo', '1 libra de cerveza']","['1 Para empezar con la preparación de la bondiola de cerdo al disco, pela y pica la cebolla morada. También lava y pica la cebolla de verdeo, reservando la parte verde para después.', '2 Por otro lado, retira un poco de la grasa visible de la carne y córtala en churrascos de unos 2 dedos de ancho.', '3 Calienta a fuego máximo el disco y agrega una cucharada de aceite. Sella en él los churrasquitos de bondiola. Puedes hacerlo sobre el fuego de la parrilla o sobre tu hornalla.', '4 Cuando estén dorados por ambos lados, agrega las cebollas que habías picado previamente. Mantén el fuego fuerte.', '5 Cuando las cebollas estén transparentes, agrega suficiente cerveza como para cubrir la base de la bondiola. De ser necesario, mueve los churrascos para que todos reciban calor parejo y se cocinen a la perfección. Puedes también girarlos sobre sí. Si se evapora el líquido, renueva la cantidad de cerveza.', '6 Una vez lista, sirve la bondiola de cerdo al disco con la salsita de la reducción de cerveza y decora con la parte verde de la cebolla de verdeo, que habías reservado en el primer paso. ¡A comer! Cuéntanos si lo pruebas y comparte una foto del resultado final.']",45m,['Receta sin sal']
matambre al verdeo,"['500 gramos de matambre de cerdo', '1 cebolla', '4 ramas de cebolla de verdeo', '1 cucharada postre de puré de ajo', '1 cucharada sopera de maicena', '1 taza de leche                                                                    (240 mililitros)', '2 papas']","['1 Para empezar con la preparación del matambre al verdeo, cocina la carne en una olla a presión con variedad de verduras por unos 30 minutos. Puedes usar puerro, zanahoria, cebolla, pero recomendamos no uses caldos industriales. Si no tienes este tipo de ollas, puedes cocinarlo perfectamente en una olla regular, pero el doble de tiempo, asegurándote que no se quede sin líquido. Así, tu matambre estará bien tierno y delicioso. Truco: antes de cocinarlo retírale la grasa visible.', '2 Mientras, pela y pica la cebolla bien finita. También lava y corta la cebolla de verdeo separando la parte blanca de la verde. Pica la blanca y reserva la verde para usar luego.', '3 Para comenzar con la cocción de la salsa de verdeo, agrega una cucharada de aceite en una sartén a fuego máximo. Condimenta con el puré de ajo. Truco: si no tienes puré de ajo, puedes picar 1 diente en crudo.', '4 Agrega la cebolla y la parte blanca de la cebolla de verdeo y, una vez que transparenten, baja el fuego a medio. Si el salteado se está secando, agrega una cucharada de agua caliente. Repite tantas veces como sea necesario para lograr unas cebollas caramelizadas exquisitas. Cuando estén bien cocidas, puedes levantar el fondo de cocción con vino blanco en lugar de agua para sumar más sabor.', '5 Mientras, disuelve la maicena en la leche fría. Esta es una versión saludable y rápida de una salsa blanca. Sin embargo, si lo prefieres, puedes hacer la clásica calentando una cucharada de manteca con una de harina en una sartén y agregando luego la leche. Revuelve hasta que espese.', '6 Agrega la leche con la maicena al salteado de cebolla y revuelve hasta que espese. Agrega al final la parte verde de la cebolla de verdeo picada.', '7 Cuando la carne esté lista, calienta la plancha a fuego máximo. Agrega la carne y no la muevas sino hasta que esté bien dorada. Gírala y dórala por el otro lado.', '8 Al girarla, añade una cucharada de la salsa de verdeo y déjala que se termine de calentar con la carne para que tome sabor.', '9 Para acompañar tu matambre al verdeo, pela y corta la papa en cubos. Sumérgela en abundante agua y cuélala. Llévala al recipiente de tu freidora de aire y cocínala por unos 7 minutos a 200 ºC. Muévelas un poco y cocínalas 7 minutos más para que estén bien doradas.', '10 Sirve tu matambre al verdeo decorando con más de la parte verde picada junto con las papas doradas y crujientes. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",1h 30m,[]
milanesa a la romana,"['500 gramos de bola de lomo', '1 huevo', '25 mililitros de leche', '1 cucharada postre de mostaza', '1 pizca de ajo en polvo', '50 gramos de harina', '1 cucharada postre de orégano', 'aceite para freir']","['1 Emprolija el corte de carne, retirándole los nervios y grasa externa. Puedes utilizar para tus milanesas la parte redonda de la carne, así como la parte alargada y reserva cualquier pedacito más chiquito para hacer salteados. En este caso, es bola de lomo, pero puedes elegir nalga o cuadrada.', '2 A continuación, prepara la mezcla de huevo, batiéndolo con leche, ajo, orégano y mostaza. Pasa la carne primero por harina, luego por el huevo batido y luego por harina nuevamente.', '3 Calienta una sartén con aceite y cocina la carne empanada con harina en él, asegurándote que la temperatura esté justa. Una vez dorada de un lado, gírala y cocínala del otro. En total te llevará unos 5 minutos. Retira las milanesas a la romana a medida que las cocinas y resérvalas en un plato con papel absorbente para retirar el exceso de aceite.', '4 Sirve tus milanesas con tu guarnición preferida. ¡A comer! Cuéntanos si lo pruebas y comparte la foto del resultado final.']",45m,[]
sobras de asado en salsa de soja,"['Carne sobrante del asado', 'Salsa de soja', '1 Limón', '1 chorro de Aceite', 'Arroz']","['1 Cortar la carne sobrante del asado en pedazos pequeños y sacar los huesos si hay. Esta receta fácil sirve tanto para las sobras de pollo asado como para la carne de cerdo o de res.', '2 Poner la carne en una olla y cubrirla por completo con salsa de soja. Luego, agregar el jugo de 1 limón y un chorro generoso de aceite.', '3 Dejar cocinar las sobras de asado en salsa de soja a fuego medio durante 20 minutos, no más porque puede quemarse la salsa y dejar la carne con un sabor amargo.', '4 Aparte, preparar arroz blanco y unirlo a la carne cuando esté lista. ¡Queda un plato riquísimo! De esta forma, se aprovechan las sobras de asado y se elabora un plato completamente distinto. Anímate a cocinar las sobras de asado en salsa de soja y cuéntame qué te parece la receta.']",15m,[]
